GEOID,STATEFP,NAME,PP1980,TP1980,PP1990,TP1990,PP2000,TP2000,PP2010,TP2010,PP2020,TP2020,PP2023,TP2023
01,01,Alabama,6368,3893888,15365,4040587,26034,4447100,30739,4779736,19608,5024279,27001,5108468
02,02,Alaska,571,401851,1851,550043,2128,626932,2775,710231,1794,733391,4480,733406
03,04,Arizona,4360,2718215,13781,3665228,25412,5130632,38423,6392017,37101,7151502,34502,7431344
04,05,Arkansas,2911,2286435,6718,2350725,11851,2673400,16147,2915918,16052,3011524,18375,3067732
05,06,California,23264,23667902,94122,29760021,160412,33871648,164213,37253956,97319,39538223,96225,38965193
06,08,Colorado,2609,2889964,7671,3294394,16833,4301261,22815,5029196,16168,5773714,17246,584057
07,09,Connecticut,2750,3107576,7771,3287116,13155,3405565,13308,3574097,6359,3605944,10445,3617176
10,10,Delaware,1087,594338,2241,666168,3937,783600,3961,897934,3118,989948,4613,1031890
12,12,Florida,20211,9746324,44380,12937926,71318,16982378,104306,18801310,81027,21538187,85928,22610726
13,13,Georgia,11922,5463105,21605,6478216,44141,8186453,54685,9687653,46574,10711908,50616,11029227
15,15,Hawaii,624,964691,1708,1108229,3553,1211537,3939,1360301,2740,1455271,3967,1435138
16,16,Idaho,817,943935,1961,1006749,5535,1293953,7431,1567582,7343,1839106,9332,1964726
17,17,Illinois,10724,11426518,27516,11430602,45281,12419293,48418,12830632,29729,12812508,29930,12549689
18,18,Indiana,6281,5490224,12615,5544159,19811,6080485,28012,6483802,23774,6785528,25072,6862199
19,19,Iowa,2479,2913808,3967,2776755,7955,2926324,9388,3046355,8280,3190369,8404,3207004
20,20,Kansas,2494,2363679,5777,2477574,8344,2688418,9051,2853118,8677,2937880,9005,2940546
21,21,Kentucky,3588,3660777,9023,3685296,14919,4041769,19937,4339367,18552,4505836,19305,4526154
22,22,Louisiana,8889,4205900,18599,4219973,35207,4468976,39444,4533372,29964,4657757,28307,4573749
23,23,Maine,671,1124660,1480,1227928,1635,1274923,1942,1328361,1619,1362359,1749,1395722
24,24,Maryland,7731,4216975,16734,4781468,22490,5296486,22275,5773552,15602,6177224,15637,6180253
25,25,Massachusetts,3150,5737037,7899,6016425,9479,6349097,10027,6547629,6195,7029917,6144,7001399
26,26,Michigan,15124,9262078,34267,9295297,47718,9938444,44113,9883640,33617,10077331,33461,5910955
27,27,Minnesota,2001,4075970,3176,4375099,6238,4919479,9796,5303952,8236,5706494,8274,783926
28,28,Mississippi,3793,2520638,8084,2573216,19239,2844658,20366,2967297,17311,2961279,21311,2939690
29,29,Missouri,5726,4916686,14943,5117073,27519,5595211,30614,5988927,23059,6154913,23911,6196156
30,30,Montana,738,786690,1425,799065,3105,902195,3716,989415,3927,1084225,4702,1132812
31,31,Nebraska,1402,1569825,2286,1578385,3816,1711263,4498,1826341,5220,1961504,5803,1978379
32,32,Nevada,1839,800493,5322,1201833,10063,1998257,12556,2700551,11422,3104614,10535,3194176
33,33,New Hampshire,326,920610,1342,1109252,2257,1235786,2761,1316470,2352,1377529,2100,1402054
34,34,New Jersey,5564,7364823,21128,7730188,29784,8414350,25007,8791894,12830,9288994,12657,9290841
35,35,New Mexico,1199,1302894,3067,1515069,4666,1819046,6614,2059179,5433,2177522,4970,2114371
36,36,New York,21639,17558072,54895,17990455,70199,18976457,56461,19378102,34114,20201429,32613,19571216
37,37,North Carolina,14456,5881766,17764,6628637,27043,8049313,35436,9535483,28881,10439388,31191,10835491
38,38,North Dakota,185,652717,435,638800,994,642200,1487,672591,1396,779094,1834,783926
39,39,Ohio,13489,10797630,31822,10847115,45833,11353140,51712,11536504,45036,11799448,44531,11785935
40,40,Oklahoma,4796,3025290,12285,3145585,23181,3450654,24514,3751351,22309,3959353,22941,4053824
41,41,Oregon,3172,2633105,6492,2842321,10553,3421399,14831,3831074,12747,4237256,12143,4233358
42,42,Pennsylvania,8112,11863895,22281,11881643,36844,12281054,51075,12702379,39335,13002700,38934,12961683
44,44,Rhode Island,611,947154,1586,1003464,1966,1048319,2086,1052567,1382,1097379,2350,1095962
45,45,South Carolina,7427,3121820,16208,3486703,21017,4012012,22822,4625364,15984,5118425,16539,5373555
46,46,South Dakota,609,690768,1341,696004,23613,754844,3431,814180,3242,886667,3727,919318
47,47,Tennessee,7022,4591120,10388,4877185,22166,5689283,27541,6346105,22685,6910840,25011,7126489
48,48,Texas,29892,14229191,50042,16988510,158008,20851820,164652,25145561,134345,29145505,139631,30503301
49,49,Utah,928,1461037,2474,1722850,5541,2233169,6795,2763885,5441,3271616,6045,3417734
50,50,Vermont,342,511456,691,562758,1313,608827,1649,625741,907,643077,1342,647464
51,51,Virginia,8581,5346818,17418,6187358,29643,7078515,37410,8001024,31838,8631393,27162,8715698
53,53,Washington,4399,4132156,7995,4866692,14666,5894121,18212,6724540,15689,7705281,13554,7812880
54,54,West Virginia,1257,1949644,1565,1793477,3795,1808344,6642,1852994,6044,1793716,5873,1770071
55,55,Wisconsin,3980,4705767,7335,4891769,20336,5363675,21973,5686986,18674,5893718,21923,5910955
56,56,Wyoming,534,469557,1110,453588,1680,493782,2112,563626,2087,576851,2242,584057
